Column1,Column2,Column3
0.0,200000.0,300000.0
-20.0,-0.610284367612946,-0.6148292067502555
-19.8,-0.6041822035621991,-0.6085947278266222
-19.6,-0.5988408202783287,-0.6026019991353544
-19.4,-0.6013327093478207,-0.5970402002243598
-19.2,-0.5903902565727794,-0.5972533456045281
-19.0,-0.5826764917298274,-0.5909273695496903
-18.8,-0.5760038196530628,-0.5823142532665878
-18.6,-0.5698355485672294,-0.5751467994464876
-18.4,-0.5641421395939318,-0.5686851530406972
-18.2,-0.5597991763708996,-0.5627767545692515
-18.0,-0.5647352811604394,-0.5575881410411031
-17.8,-0.5529577387266418,-0.5625412317311277
-17.6,-0.5446179191903502,-0.5545572478140911
-17.4,-0.5378596480277152,-0.5455428127360743
-17.2,-0.5319757674590481,-0.5383309399713098
-17.0,-0.527053645234141,-0.5320256304403707
-16.8,-0.5294335950605568,-0.5264109635894603
-16.6,-0.5258575833790868,-0.5217070655624124
-16.4,-0.3787114249638111,-0.5349044682066837
-16.2,-0.3903469415648536,-0.5218309331845813
-16.0,-0.3751283850830867,-0.5124269486644881
-15.8,-0.36803657751879776,-0.5053118356740313
-15.6,-0.3635947793351595,-0.4993294763363728
-15.4,-0.3611819209101329,-0.49478138436893965
-15.2,-0.3675837958545571,-0.5115782396603991
-15.0,-0.3833065128138923,-0.49666318668223064
-14.8,-0.3650471050420645,-0.48763382231839913
-14.6,-0.48803042128022744,-0.48133539693396915
-14.4,-0.487307949155645,-0.4765971778251206
-14.2,-0.47322822231714284,-0.47412275507322127
-14.0,-0.46562844770506207,-0.4944301750846403
-13.8,-0.3579671037946083,-0.48271245266818164
-13.6,-0.3504070453521186,-0.4725503393141269
-13.4,-0.34821241050495816,-0.7065638269422199
-13.2,-0.35456838584832834,-0.7054503978136712
-13.0,-0.3832637530397454,-0.7284566988450474
-12.8,-0.3640033445254891,-0.7514739382538009
-12.6,-0.3533731424878056,-0.7739887075194514
-12.4,-0.4660274356856065,-0.7958950970598374
-12.2,-0.4535666417913501,-0.8172183609862349
-12.0,-0.44611082333187874,-0.8380227807896176
-11.8,-0.4429326143958303,-0.8586554311829531
-11.6,-0.6650761950726465,-0.8791791047400255
-11.4,-0.6780976869704538,-0.8952009651126768
-11.2,-0.6938632429581747,-0.9083222023819436
-11.0,-0.7122895508661725,-0.9164947634975095
-10.8,-0.7327351753599611,-0.9110925327383175
-10.6,-0.7541788875799819,-0.9042460205121458
-10.4,-0.7732094610630376,-0.8971908662758957
-10.2,-0.7907096726949452,-0.8932534769595908
-10.0,-0.8050879630333023,-0.8903102841948407
-9.8,-0.8166154313974219,-0.8871237931656644
-9.6,-0.8253003148050717,-0.8831278590378335
-9.4,-0.8317534914701558,-0.8781736032731385
-9.2,-0.8292023156818673,-0.8681251032510572
-9.0,-0.8157810166027217,-0.8574141672668498
-8.8,-0.8075871041333784,-0.8467811258017022
-8.6,-0.80275159365355,-0.8360522907371141
-8.4,-0.7984349438686039,-0.8256299367416495
-8.2,-0.7932637364295492,-0.814482687482535
-8.0,-0.781990776412039,-0.7955303511564804
-7.8,-0.7698419216925935,-0.7685301905655821
-7.6,-0.7581267250105552,-0.7413687292751981
-7.4,-0.7472241130282729,-0.7145161890313664
-7.2,-0.7352760141844631,-0.6850512641266424
-7.0,-0.7220676704439781,-0.659139134332736
-6.8,-0.7090233733984344,-0.6352355326992888
-6.6,-0.6962426795293286,-0.6084090162769049
-6.4,-0.6686985352135871,-0.5811917558408681
-6.2,-0.638806839808622,-0.5512765232508274
-6.0,-0.6088010327791475,-0.520563321039947
-5.8,-0.5781568714479732,-0.48887396684320333
-5.6,-0.55309799557775,-0.4702886406430124
-5.4,-0.5248960637283975,-0.44462198911790995
-5.2,-0.4936432042153019,-0.4158452220816258
-5.0,-0.46110282122698276,-0.38528354007346405
-4.8,-0.433682933223434,-0.3537603962313532
-4.6,-0.41043916751286974,-0.3216110984350255
-4.4,-0.38102676212429265,-0.30614462473245263
-4.2,-0.3490575516918783,-0.27943340264796646
-4.0,-0.3153056967733519,-0.24946087729717373
-3.8,-0.29717635264859843,-0.217650936235276
-3.6,-0.27028207504269075,-0.18560688702546924
-3.4,-0.23909422468617528,-0.1536827855787255
-3.2,-0.20574866958325677,-0.1372381283916778
-3.0,-0.17110403847787004,-0.11117539422875056
-2.8,-0.1587130180085014,-0.08263005673994864
-2.6,-0.1289396713613281,-0.05365487923129358
-2.4,-0.09673905541377939,-0.03707325739763447
-2.2,-0.06441458018788182,-0.014106025714184617
-2.0,-0.04909638747341732,0.011441902211786136
-1.8,-0.024141493197140765,0.02678027850607044
-1.6,0.00537559016824882,0.0485103780953953
-1.4,0.03855330281827411,0.06790527734057207
-1.2,0.05726301324224164,0.08759398603643226
-1.0,0.09453557652513914,0.10965761040844996
-0.8,0.13876703865165257,0.13039864664414993
-0.6,0.17461096740346002,0.15645329205376332
-0.4,0.2120721517627535,0.18288422873069873
-0.2,0.25913741063772333,0.21394538191142246
0.0,0.29334101454267225,0.24672110935362557
0.2,0.33844740269329293,0.2781938466415324
0.4,0.371678691441656,0.31223733988085084
0.6,0.41479672164633274,0.3437516269985026
0.8,0.45478718178714456,0.3804710550865087
1.0,0.49093910474159197,0.4109645920561587
1.2,0.5309359594530204,0.44462522026600554
1.4,0.5582780279718562,0.4807575096728412
1.6,0.5720294509688754,0.5136049825461247
1.8,0.5855115298419166,0.5458673802964972
2.0,0.6003654043415069,0.5818562060076018
2.2,0.6146280055280506,0.6177328213636369
2.4,0.629212102762239,0.6354921675898214
2.6,0.6449933534558284,0.6497647565567801
2.8,0.6592981759744169,0.6642127693666335
3.0,0.6750021325084448,0.6790086406407694
3.2,0.6900582584944899,0.6937429978125268
3.4,0.7055111802005111,0.7089298082480097
3.6,0.7211925658566749,0.7237659888977298
3.8,0.7363363220300709,0.7392083497518956
4.0,0.7522923854823637,0.7542605263125772
