Column1,Column2,Column3
15.8,1.1889997236534233,1.2364712607519124
16.0,1.1780642771854963,1.2352941471279661
16.2,1.1653601370772868,1.2337238814671962
16.4,1.149950446487007,1.2321222343090976
16.6,1.1304848385225519,1.2319297293943456
16.8,1.1047634041563854,1.2346941961028015
17.0,1.0723593042360027,1.2388764740489535
17.2,1.0348769964658684,1.2274639625778274
17.4,0.9947208540569701,1.2156750891091466
17.6,0.9554366822856454,1.2033295851581718
17.8,0.9253243828917067,1.1901842191865428
18.0,0.7453463874330213,1.1759973681756697
18.2,0.680595483058138,1.160568287396676
18.4,0.6538651857707848,1.1436572211398712
18.6,0.6575775836847918,1.1249387830187523
18.8,0.665676449008012,1.103956249837905
19.0,0.686767745718287,1.0803516912451894
19.2,0.6672665099577714,1.0530339689390624
19.4,0.6705153542506267,1.0200883789554738
19.6,0.676153779607507,0.9836276034424412
19.8,0.6847480067063972,1.3806953281059031
20.0,0.701312431342147,0.8350418241156173
20.2,0.8358487016645298,0.8412447695654804
20.4,0.8393392644223702,0.8490758994923872
20.6,0.8452472041050652,0.8599150666584842
20.8,0.8524370712388192,0.8552278080386887
21.0,0.862391460674421,0.8595480314166437
21.2,0.8697844792761815,0.8653633170746657
21.4,0.8648487994687677,0.8718700094524154
21.6,0.8707527760943962,0.8792646556842054
21.8,0.877716598971755,0.8883824182055182
22.0,0.8861744604553926,0.8956716749472095
22.2,0.9002260250916109,0.8908407037203651
22.4,0.8916919173875592,0.8964533349335225
22.6,0.8966018770612646,0.9024629649832159
22.8,0.9023661232847108,0.9088637275055975
23.0,0.9086606175610459,0.9158830375744835
23.2,0.9157730764186065,0.9243751413613644
23.4,0.9249427751641133,0.9238069758514457
23.6,0.9260280564682738,0.9288290728073714
23.8,0.7487879548841929,0.9346102604637329
24.0,0.7530562333001923,0.9405962092047343
24.2,0.7584622972119074,0.9468052595313328
24.4,0.9463937459814528,0.9535232286296538
24.6,0.9537162239520722,0.9615619913524448
24.8,0.960027758955888,0.9621719802618974
25.0,0.9614828733298385,0.9671812481451967
25.2,0.9667655425544323,0.9727166989360558
25.4,0.9723049074406013,0.9783409319447759
25.6,0.9779947661086003,0.9840330378456951
25.8,0.9838789936909003,0.9898206377723687
26.0,0.9902389904133423,0.9958594781478596
26.2,0.9981537376673185,1.0026670252526482
26.4,0.7912278990448125,0.7977605683893184
26.6,0.7944217306292147,0.8009454870000771
26.8,0.7978231675359583,0.8042198526170566
27.0,0.8016234061049797,0.8076607454122298
27.2,0.8066681529935661,0.8115430379211941
27.4,1.0258746703850465,1.0319905283791815
27.6,1.0315492473046086,1.0373478948461956
27.8,1.0381909706773143,1.042836999082125
28.0,0.8142790312067378,1.0489129880451713
28.2,0.8171247012210813,0.8233065559988741
28.4,0.8200826210891727,0.8260571014083177
28.6,0.8232891744539501,0.8288356260216768
28.8,0.8273690208414279,0.8317084105577633
29.0,1.066506717064082,0.8349347143808163
29.2,1.0715338150077371,0.8378236339767812
29.4,1.0767157996203973,0.8382981990558258
29.6,1.0818841583304195,0.8405125941341578
29.8,1.085853922421309,0.8428007719252011
30.0,1.0907929168462798,0.8450813545302222
